,age,balance,day,duration,campaign,pdays,previous,y,job_blue-collar,job_entrepreneur,...,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep
0,1.606965,0.256419,-1.298476,0.011016,-0.569351,-0.411453,-0.25194,0,0,0,...,0,0,0,0,0,0,1,0,0,0
1,0.288529,-0.437895,-1.298476,-0.416127,-0.569351,-0.411453,-0.25194,0,0,0,...,0,0,0,0,0,0,1,0,0,0
2,-0.747384,-0.446762,-1.298476,-0.707361,-0.569351,-0.411453,-0.25194,0,0,1,...,0,0,0,0,0,0,1,0,0,0
3,0.571051,0.047205,-1.298476,-0.645231,-0.569351,-0.411453,-0.25194,0,1,0,...,0,0,0,0,0,0,1,0,0,0
4,-0.747384,-0.447091,-1.298476,-0.23362,-0.569351,-0.411453,-0.25194,0,1,0,...,0,0,0,0,0,0,1,0,0,0
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
45206,0.947747,-0.17646,0.143418,2.791329,0.07623,-0.411453,-0.25194,0,0,0,...,0,0,0,0,0,0,0,1,0,0
45207,2.831227,0.120447,0.143418,0.768224,-0.24656,-0.411453,-0.25194,0,0,0,...,0,0,0,0,0,0,0,1,0,0
45208,2.925401,1.429593,0.143418,3.373797,0.721811,1.436189,1.050473,0,0,0,...,0,0,0,0,0,0,0,1,0,0
45209,1.512791,-0.228024,0.143418,0.970146,0.39902,-0.411453,-0.25194,0,1,0,...,0,0,0,0,0,0,0,1,0,0
45210,-0.370689,0.528364,0.143418,0.399328,-0.24656,1.476138,4.523577,0,0,1,...,0,0,0,0,0,0,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,
45211 rows × 40 columns,,,,,,,,,,,,,,,,,,,,,
